league,season,match_url
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-vitoria-guimaraes-APMEujmH/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-rio-ave-f1zsJ10a/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-casa-pia-GWtkzFhl/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-famalicao-p0YiXLej/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-sc-farense-h8zhGTKb/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-braga-2NiJIh6G/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-arouca-CEtQhK4p/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-vitoria-guimaraes-23e2Qq8P/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-famalicao-nBLm489D/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-sc-farense-tCRCo3cH/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-braga-niPWBaBM/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-rio-ave-vwGym77B/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/chaves-sc-farense-OWvLdrO8/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-gil-vicente-vsAnT0tc/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-boavista-Qk2drn4i/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-benfica-0dfUGogJ/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-chaves-jFYGGxS8/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-casa-pia-QgbtLI6Q/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-estoril-pxUZQpZG/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-chaves-zc3G2tGI/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-braga-zVdzq4xC/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-portimonense-dEpf9L7E/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-arouca-pljJuyVQ/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-rio-ave-lUnMxrYS/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-casa-pia-QZDYS644/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-famalicao-tjErN7c2/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-casa-pia-rX1IqjoD/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-braga-hYDB3M0C/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-estoril-feuijRrn/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-estoril-21GDx8En/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-portimonense-hn7mbM2j/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-portimonense-WhhHwOIM/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-sporting-lisbon-h6qPe2wF/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-sc-farense-G4KHySTh/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-estoril-buxPEGdL/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/braga-moreirense-pttHcO82/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-casa-pia-WvwXTwWE/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-sc-farense-h67VqpN5/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-casa-pia-YkfRciUj/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-sporting-lisbon-8hMbj12S/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-braga-bkk6MkPs/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-estoril-jqSv6Uv1/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-vizela-WzFw1cFf/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-braga-ELXXgt8R/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-benfica-xYs23Sih/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-sc-farense-vaFrfq33/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/chaves-boavista-ALQU2Jpr/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-fc-porto-ChTz7APf/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-fc-porto-xEwDuVVJ/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-arouca-6k5Jnnwm/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-sporting-lisbon-AoxPCfE6/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-vitoria-guimaraes-Wx6ictId/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-braga-hr95nh1f/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-chaves-8vH9wlat/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-estoril-zyjRGWzT/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-vizela-6gDUYPDB/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-rio-ave-SKgswWwm/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-portimonense-jDsldBpP/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-estoril-AVyyTcoL/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-casa-pia-4QvmNsXk/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-sc-farense-lIMLD6OJ/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-estrela-da-amadora-ImwNb46N/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-sporting-lisbon-dGiQgFKe/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/afs-portimonense-OGQLtQt1/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-moreirense-YZTog3I9/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-estoril-YayB16M4/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-moreirense-CdsgCjqp/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-vizela-lEQxp5v3/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-estoril-EiA1mYol/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-estrela-da-amadora-8KMq5lf7/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-fc-porto-hARTBETC/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-vitoria-guimaraes-YBV1AUDd/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-vizela-6Vt8CoKN/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-benfica-bqAAKrCp/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-estrela-da-amadora-lxDjofJu/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-gil-vicente-j5uUivKj/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-estoril-6ZGeX6w0/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/chaves-estoril-xAg6XR7O/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/braga-benfica-IVTW7jAl/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-moreirense-SrdMI7O6/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-famalicao-6LZ1XCx7/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-moreirense-UFI7Ny9r/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-vitoria-guimaraes-IgIgtNwS/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/chaves-gil-vicente-K4BKKZh1/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-rio-ave-CQSkhNXF/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-famalicao-p4O3lKVl/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-sporting-lisbon-vaTwQ4lN/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-vitoria-guimaraes-Svr4DR4H/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-braga-OEwTUJG8/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-sporting-lisbon-ht0YMvxE/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-chaves-SnAvOmrd/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-estrela-da-amadora-vLYBGNdi/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-rio-ave-zkVaVVkM/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-casa-pia-E1qde22F/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-benfica-MBzMJYjA/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-arouca-hQ39L9vl/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-estrela-da-amadora-lCPY1w0l/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-vitoria-guimaraes-vq5sWNcU/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-gil-vicente-EgkL72X2/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-fc-porto-bmx8nqrB/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-moreirense-beWgZY7f/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/braga-arouca-4O7UpuQk/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/braga-vizela-vPz3Y7hI/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-boavista-0j1wqJf2/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-boavista-C0wwkNoJ/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-gil-vicente-Moant2MU/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-benfica-Aqqnxjgg/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-portimonense-z9LaWQh6/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/chaves-arouca-dtsqIkjn/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-fc-porto-rLyIKEy4/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/braga-portimonense-bT9Mznqa/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-casa-pia-xxW34H3d/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-vitoria-guimaraes-Ma2Zqaud/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-benfica-G2NAtWXA/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-estoril-U7h8oIF7/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-famalicao-ARDCTOxP/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-gil-vicente-xOrEfRHs/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sc-farense-vitoria-guimaraes-8nofbtsN/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/sporting-lisbon-famalicao-l07K10VO/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-famalicao-UBSe6wZq/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-chaves-UyCnu1zo/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-rio-ave-ry2YYvW1/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-arouca-xz9EJ2Rj/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-boavista-dEQWmmh5/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-sc-farense-b7bdD3LG/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-vitoria-guimaraes-beAOJg87/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-arouca-vwza8uNK/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-boavista-dx3BrhGP/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-moreirense-6cmIgoXm/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/rio-ave-vizela-QcCbQbQF/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/boavista-vizela-AJHa8EZl/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-arouca-re0rsr7O/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-sc-farense-6oVVRQJA/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-boavista-l0TkHuVB/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estoril-sc-farense-EHDZRB1K/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-portimonense-zeY9Mz7i/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-sporting-lisbon-ELevrOiI/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-estrela-da-amadora-QThP6Mn9/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/estrela-da-amadora-vizela-G4xHvkoQ/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vitoria-guimaraes-vizela-pl8i8pns/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/portimonense-estrela-da-amadora-faeNbXEp/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-chaves-pKSnZS8m/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/casa-pia-portimonense-EPojaMRG/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-sc-farense-IBXFFsCc/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-braga-QwlMmSNt/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/vizela-portimonense-hfRuSH0R/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/fc-porto-portimonense-OxIBMeOl/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-casa-pia-KlwLFdsF/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/moreirense-sc-farense-fZBWP9Dq/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/famalicao-arouca-rsDhXiL9/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/benfica-braga-QgEqooxO/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/gil-vicente-benfica-K6045rWa/
Portugal Liga Portugal,2023-2024,https://www.oddsportal.com/football/portugal/liga-portugal-2023-2024/arouca-vitoria-guimaraes-GdIe9fKr/
